"Product Name","id","Product_Code","fine","interest"
,"9C7E1F52-94D1-EA11-81AC-00505697537D","64",,10
,BDA55BA8-94D1-EA11-81AC-00505697537D,"65",,10
,"3E2060D1-94D1-EA11-81AC-00505697537D","66",,10
פסיכומטרי,A083D7D1-7F69-E811-826D-00505697537D,"47",D3197AE8-7B87-E011-942D-005056BD3748,10
,"59E7E64D-8C8D-E811-8A51-00505697537D","72",,10
,"379DA292-0BA5-E811-8A51-00505697537D","73",,10
,"9BBFAFB3-0BA5-E811-8A51-00505697537D","74",,10
,"994AF2D5-0BA5-E811-8A51-00505697537D","75",,10
,"0B7FB699-0CA5-E811-8A51-00505697537D","76",,10
,"71ADDFBD-0CA5-E811-8A51-00505697537D","77",,10
,"5A4667EA-0CA5-E811-8A51-00505697537D","78",,10
,"1EBF460E-0DA5-E811-8A51-00505697537D","79",,10
,"0C24EDF3-13A5-E811-8A51-00505697537D","91",,10
,CF6AB903-14A5-E811-8A51-00505697537D,"92",,10
,"8C60AE11-14A5-E811-8A51-00505697537D","94",,10
,"9BE7011B-14A5-E811-8A51-00505697537D","95",,10
בגרויות,BBE30984-9CAA-E811-8A51-00505697537D,"57","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"7BCEC1D6-9CAA-E811-8A51-00505697537D","58","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"0892D6FD-9CAA-E811-8A51-00505697537D","59","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,A042C4C0-ABAE-E811-8A51-00505697537D,"89","49D69FDB-7B87-E011-942D-005056BD3748",10
פסיכומטרי,"31DDB839-B7D5-E811-8A51-00505697537D","49",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,A8D930E8-B8D5-E811-8A51-00505697537D,"85",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,F84535AD-BAD5-E811-8A51-00505697537D,"29",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"925D6BC9-BAD5-E811-8A51-00505697537D","26",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"92C6D7DE-BAD5-E811-8A51-00505697537D","27",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,C1B7BCFC-BAD5-E811-8A51-00505697537D,"28",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"56E152C6-E466-E711-A4E6-00505697537D","42",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,D6762529-E566-E711-A4E6-00505697537D,"43",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"1748B866-E566-E711-A4E6-00505697537D","44",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,F6C3658A-E566-E711-A4E6-00505697537D,"45",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"66353FBF-27A5-EC11-A8C8-00505697537D","123",D3197AE8-7B87-E011-942D-005056BD3748,10
,"50EF90B7-A702-E911-AD77-00505697537D","69",,10
פסיכומטרי,"2E73F4A0-BEAE-E911-AF9E-00505697537D","25",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,D7F8E6C4-E587-E711-B7F2-00505697537D,"56",D3197AE8-7B87-E011-942D-005056BD3748,20
פסיכומטרי,"3967A6C4-FB7D-E811-B9FF-00505697537D","46",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"78AED62A-FC7D-E811-B9FF-00505697537D","48",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"00C5387D-FC7D-E811-B9FF-00505697537D","86",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"98CDABAC-FC7D-E811-B9FF-00505697537D","87",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,C3CE65E0-FC7D-E811-B9FF-00505697537D,"88",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"743DEEAE-E133-E711-80D6-0050569937A8","55",D3197AE8-7B87-E011-942D-005056BD3748,10
,"95C54048-2757-E711-A4E6-0050569937A8",ספר GMAT מילולי,,
,"953A34EC-2957-E711-A4E6-0050569937A8",ספר GMAT כמותי,,
,F269BDC2-6796-E011-8D18-005056BD3748,ספר,,20
בגרויות,"2C446379-5D87-E011-942D-005056BD3748","10","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,CA40E198-5D87-E011-942D-005056BD3748,"11","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,C6A2D729-5E87-E011-942D-005056BD3748,"60","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"8C712F79-5E87-E011-942D-005056BD3748","61","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,CE7C1192-5E87-E011-942D-005056BD3748,"20","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"44D61CBA-5E87-E011-942D-005056BD3748","22","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"7CA1D0DA-5E87-E011-942D-005056BD3748","23","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,EC09E7F8-5E87-E011-942D-005056BD3748,"24","49D69FDB-7B87-E011-942D-005056BD3748",20
בגרויות,BE5D9626-5F87-E011-942D-005056BD3748,"31","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"7EED8041-5F87-E011-942D-005056BD3748","35","49D69FDB-7B87-E011-942D-005056BD3748",10
,"8A56096D-5F87-E011-942D-005056BD3748","36",,20
בגרויות,"88AF9DA6-5F87-E011-942D-005056BD3748","62","49D69FDB-7B87-E011-942D-005056BD3748",10
,"2AE764D8-5F87-E011-942D-005056BD3748","63",,20
,"14F94794-6087-E011-942D-005056BD3748","38",,20
,B24814AF-6087-E011-942D-005056BD3748,"39",,20
בגרויות,"1875F5C9-6087-E011-942D-005056BD3748","40","49D69FDB-7B87-E011-942D-005056BD3748",10
,"084CFDEA-6087-E011-942D-005056BD3748","81",,861650000
,AC164007-6187-E011-942D-005056BD3748,"82",,20
,"5C287321-6187-E011-942D-005056BD3748","84",,20
,CB64D234-6187-E011-942D-005056BD3748,"90",,20
בגרויות,B2C2B746-6187-E011-942D-005056BD3748,"93","49D69FDB-7B87-E011-942D-005056BD3748",10
,"4B74FF59-6187-E011-942D-005056BD3748","96",,20
,"1CAEEA72-6187-E011-942D-005056BD3748","98",,20
בגרויות,"00EC817D-6187-E011-942D-005056BD3748","41","49D69FDB-7B87-E011-942D-005056BD3748",10
פסיכומטרי,A29C36C3-6187-E011-942D-005056BD3748,"50",D3197AE8-7B87-E011-942D-005056BD3748,10
,CE00DA2E-6287-E011-942D-005056BD3748,"850",,20
בגרויות,"51CA2D4F-8287-E011-942D-005056BD3748","99","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"5FCA2D4F-8287-E011-942D-005056BD3748","70","49D69FDB-7B87-E011-942D-005056BD3748",20
,"67CA2D4F-8287-E011-942D-005056BD3748","201",,20
,"69CA2D4F-8287-E011-942D-005056BD3748","200",,20
,"6BCA2D4F-8287-E011-942D-005056BD3748","203",,20
,"6DCA2D4F-8287-E011-942D-005056BD3748","202",,20
בגרויות,"83CA2D4F-8287-E011-942D-005056BD3748","12","49D69FDB-7B87-E011-942D-005056BD3748",10
,"93CA2D4F-8287-E011-942D-005056BD3748","204",,20
,DBE2729E-DC0D-E111-94C1-005056BD3748,"ספר אזרחות 1 יח""ל",,
,"19DA77EB-DD0D-E111-94C1-005056BD3748","ספר אנגלית 3 יח""ל",,
,C7DA9CC0-E00D-E111-94C1-005056BD3748,"ספר אנגלית 4 יח""ל",,
,A91BC79A-EF0D-E111-94C1-005056BD3748,"ספר אנגלית 5 יח""ל",,
,"893837CF-F00D-E111-94C1-005056BD3748",ספר אנגלית 5 - מקוצר,,
,"8F0B3B07-F20D-E111-94C1-005056BD3748","ספר גיאוגרפיה 5 יח""ל",,
,"497FF205-F30D-E111-94C1-005056BD3748",ספר היסטוריה 3 השלמה,,
,E5484E35-F40D-E111-94C1-005056BD3748,ספר היסטוריה א' 1,,
,"01AF26C7-F70D-E111-94C1-005056BD3748",ספר היסטוריה ב' 1,,
,DFDF3584-F80D-E111-94C1-005056BD3748,"ספר כימיה 5 יח""ל",,
,"97CAE400-F90D-E111-94C1-005056BD3748","ספר לשון 1 יח""ל",,
בגרויות,"70650319-E970-E011-A41E-005056BD3748","30","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"4436122B-E970-E011-A41E-005056BD3748","80","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"8EA2473E-E970-E011-A41E-005056BD3748","21","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"007CDC6C-EA70-E011-A41E-005056BD3748","71","49D69FDB-7B87-E011-942D-005056BD3748",10
,CEA33800-0F20-E111-A7F6-005056BD3748,"ספר מתמטיקה 4 יח""ל",,
,"6AC47CC0-0F20-E111-A7F6-005056BD3748","ספר מתמטיקה 5 יח""ל",,
,"9693A344-1020-E111-A7F6-005056BD3748","ספר אזרחות 2 יח""ל",,
,"1E8E23EA-1D1B-E111-B09A-005056BD3748","ספר תנ""ך 3 יח""ל",,
,"347E210F-1F1B-E111-B09A-005056BD3748","ספר תנ""ך 2 יח""ל",,
,AA5D73F8-1F1B-E111-B09A-005056BD3748,"ספר פיסיקה 5 יח""ל",,
,"64A49089-201B-E111-B09A-005056BD3748",ספר פסיכומטרי,,
,E0AC59C7-211B-E111-B09A-005056BD3748,"ספר עברית 2 יח""ל",,
,EC7ED179-221B-E111-B09A-005056BD3748,"ספר ספרות 3 יח""ל",,
,"06661E50-241B-E111-B09A-005056BD3748","ספר ספרות 2 יח""ל",,
,"69680514-14F3-E011-B440-005056BD3748","1111",,
,F841BCCB-15F3-E011-B440-005056BD3748,"11212",,
,"51F0FD0F-DEE6-E111-8CA7-005056BD5C9D",ספר מכינה מתמטיקה 4,,
בגרויות,"157ADC45-21C1-E111-8DED-005056BD5C9D","13","49D69FDB-7B87-E011-942D-005056BD3748",20
פסיכומטרי,B03CF86D-AB48-E411-A909-005056BD5C9D,"17",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"62395813-AC48-E411-A909-005056BD5C9D","16",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"6E48D8B0-294E-E411-A909-005056BD5C9D","54",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,FCB6D9D3-550A-E311-AA40-005056BD5C9D,"15",D3197AE8-7B87-E011-942D-005056BD3748,20
בגרויות,"22FCDB74-D023-E111-AE1B-005056BD5C9D","97","49D69FDB-7B87-E011-942D-005056BD3748",10
פסיכומטרי,E617975E-D123-E111-AE1B-005056BD5C9D,"51",D3197AE8-7B87-E011-942D-005056BD3748,10
,"2695237F-E223-E111-AE1B-005056BD5C9D",ספר מכינה באנגלית,,
,EF2C837E-EA23-E111-AE1B-005056BD5C9D,ספר מדעי החברה 5,,
,"813191FC-EA23-E111-AE1B-005056BD5C9D","ספר מדעי החברה 5 יח""ל",,
,"5A699D1F-F123-E111-AE1B-005056BD5C9D","ספר מכינה מתמטיקה 5 יח""ל",,
,A8C7594F-F423-E111-AE1B-005056BD5C9D,"ספר פיזיקה 5 יח""ל",,
פסיכומטרי,"62C0B6F8-8D9F-E311-BBAE-005056BD5C9D","52",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"126323B4-97C0-E311-BEF5-005056BD5C9D","53",D3197AE8-7B87-E011-942D-005056BD3748,10
"","9C7E1F52-94D1-EA11-81AC-00505697537D","64","",10
"",BDA55BA8-94D1-EA11-81AC-00505697537D,"65","",10
"","3E2060D1-94D1-EA11-81AC-00505697537D","66","",10
פסיכומטרי,A083D7D1-7F69-E811-826D-00505697537D,"47",D3197AE8-7B87-E011-942D-005056BD3748,10
"","59E7E64D-8C8D-E811-8A51-00505697537D","72","",10
"","379DA292-0BA5-E811-8A51-00505697537D","73","",10
"","9BBFAFB3-0BA5-E811-8A51-00505697537D","74","",10
"","994AF2D5-0BA5-E811-8A51-00505697537D","75","",10
"","0B7FB699-0CA5-E811-8A51-00505697537D","76","",10
"","71ADDFBD-0CA5-E811-8A51-00505697537D","77","",10
"","5A4667EA-0CA5-E811-8A51-00505697537D","78","",10
"","1EBF460E-0DA5-E811-8A51-00505697537D","79","",10
"","0C24EDF3-13A5-E811-8A51-00505697537D","91","",10
"",CF6AB903-14A5-E811-8A51-00505697537D,"92","",10
"","8C60AE11-14A5-E811-8A51-00505697537D","94","",10
"","9BE7011B-14A5-E811-8A51-00505697537D","95","",10
בגרויות,BBE30984-9CAA-E811-8A51-00505697537D,"57","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"7BCEC1D6-9CAA-E811-8A51-00505697537D","58","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"0892D6FD-9CAA-E811-8A51-00505697537D","59","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,A042C4C0-ABAE-E811-8A51-00505697537D,"89","49D69FDB-7B87-E011-942D-005056BD3748",10
פסיכומטרי,"31DDB839-B7D5-E811-8A51-00505697537D","49",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,A8D930E8-B8D5-E811-8A51-00505697537D,"85",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,F84535AD-BAD5-E811-8A51-00505697537D,"29",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"925D6BC9-BAD5-E811-8A51-00505697537D","26",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"92C6D7DE-BAD5-E811-8A51-00505697537D","27",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,C1B7BCFC-BAD5-E811-8A51-00505697537D,"28",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"56E152C6-E466-E711-A4E6-00505697537D","42",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,D6762529-E566-E711-A4E6-00505697537D,"43",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"1748B866-E566-E711-A4E6-00505697537D","44",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,F6C3658A-E566-E711-A4E6-00505697537D,"45",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"66353FBF-27A5-EC11-A8C8-00505697537D","123",D3197AE8-7B87-E011-942D-005056BD3748,10
"","50EF90B7-A702-E911-AD77-00505697537D","69","",10
פסיכומטרי,"2E73F4A0-BEAE-E911-AF9E-00505697537D","25",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,D7F8E6C4-E587-E711-B7F2-00505697537D,"56",D3197AE8-7B87-E011-942D-005056BD3748,20
פסיכומטרי,"3967A6C4-FB7D-E811-B9FF-00505697537D","46",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"78AED62A-FC7D-E811-B9FF-00505697537D","48",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"00C5387D-FC7D-E811-B9FF-00505697537D","86",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"98CDABAC-FC7D-E811-B9FF-00505697537D","87",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,C3CE65E0-FC7D-E811-B9FF-00505697537D,"88",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"743DEEAE-E133-E711-80D6-0050569937A8","55",D3197AE8-7B87-E011-942D-005056BD3748,10
"","95C54048-2757-E711-A4E6-0050569937A8",ספר GMAT מילולי,"",
"","953A34EC-2957-E711-A4E6-0050569937A8",ספר GMAT כמותי,"",
"",F269BDC2-6796-E011-8D18-005056BD3748,ספר,"",20
בגרויות,"2C446379-5D87-E011-942D-005056BD3748","10","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,CA40E198-5D87-E011-942D-005056BD3748,"11","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,C6A2D729-5E87-E011-942D-005056BD3748,"60","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"8C712F79-5E87-E011-942D-005056BD3748","61","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,CE7C1192-5E87-E011-942D-005056BD3748,"20","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"44D61CBA-5E87-E011-942D-005056BD3748","22","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"7CA1D0DA-5E87-E011-942D-005056BD3748","23","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,EC09E7F8-5E87-E011-942D-005056BD3748,"24","49D69FDB-7B87-E011-942D-005056BD3748",20
בגרויות,BE5D9626-5F87-E011-942D-005056BD3748,"31","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"7EED8041-5F87-E011-942D-005056BD3748","35","49D69FDB-7B87-E011-942D-005056BD3748",10
"","8A56096D-5F87-E011-942D-005056BD3748","36","",20
בגרויות,"88AF9DA6-5F87-E011-942D-005056BD3748","62","49D69FDB-7B87-E011-942D-005056BD3748",10
"","2AE764D8-5F87-E011-942D-005056BD3748","63","",20
"","14F94794-6087-E011-942D-005056BD3748","38","",20
"",B24814AF-6087-E011-942D-005056BD3748,"39","",20
בגרויות,"1875F5C9-6087-E011-942D-005056BD3748","40","49D69FDB-7B87-E011-942D-005056BD3748",10
"","084CFDEA-6087-E011-942D-005056BD3748","81","",861650000
"",AC164007-6187-E011-942D-005056BD3748,"82","",20
"","5C287321-6187-E011-942D-005056BD3748","84","",20
"",CB64D234-6187-E011-942D-005056BD3748,"90","",20
בגרויות,B2C2B746-6187-E011-942D-005056BD3748,"93","49D69FDB-7B87-E011-942D-005056BD3748",10
"","4B74FF59-6187-E011-942D-005056BD3748","96","",20
"","1CAEEA72-6187-E011-942D-005056BD3748","98","",20
בגרויות,"00EC817D-6187-E011-942D-005056BD3748","41","49D69FDB-7B87-E011-942D-005056BD3748",10
פסיכומטרי,A29C36C3-6187-E011-942D-005056BD3748,"50",D3197AE8-7B87-E011-942D-005056BD3748,10
"",CE00DA2E-6287-E011-942D-005056BD3748,"850","",20
בגרויות,"51CA2D4F-8287-E011-942D-005056BD3748","99","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"5FCA2D4F-8287-E011-942D-005056BD3748","70","49D69FDB-7B87-E011-942D-005056BD3748",20
"","67CA2D4F-8287-E011-942D-005056BD3748","201","",20
"","69CA2D4F-8287-E011-942D-005056BD3748","200","",20
"","6BCA2D4F-8287-E011-942D-005056BD3748","203","",20
"","6DCA2D4F-8287-E011-942D-005056BD3748","202","",20
בגרויות,"83CA2D4F-8287-E011-942D-005056BD3748","12","49D69FDB-7B87-E011-942D-005056BD3748",10
"","93CA2D4F-8287-E011-942D-005056BD3748","204","",20
"",DBE2729E-DC0D-E111-94C1-005056BD3748,"ספר אזרחות 1 יח""ל","",
"","19DA77EB-DD0D-E111-94C1-005056BD3748","ספר אנגלית 3 יח""ל","",
"",C7DA9CC0-E00D-E111-94C1-005056BD3748,"ספר אנגלית 4 יח""ל","",
"",A91BC79A-EF0D-E111-94C1-005056BD3748,"ספר אנגלית 5 יח""ל","",
"","893837CF-F00D-E111-94C1-005056BD3748",ספר אנגלית 5 - מקוצר,"",
"","8F0B3B07-F20D-E111-94C1-005056BD3748","ספר גיאוגרפיה 5 יח""ל","",
"","497FF205-F30D-E111-94C1-005056BD3748",ספר היסטוריה 3 השלמה,"",
"",E5484E35-F40D-E111-94C1-005056BD3748,ספר היסטוריה א' 1,"",
"","01AF26C7-F70D-E111-94C1-005056BD3748",ספר היסטוריה ב' 1,"",
"",DFDF3584-F80D-E111-94C1-005056BD3748,"ספר כימיה 5 יח""ל","",
"","97CAE400-F90D-E111-94C1-005056BD3748","ספר לשון 1 יח""ל","",
בגרויות,"70650319-E970-E011-A41E-005056BD3748","30","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"4436122B-E970-E011-A41E-005056BD3748","80","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"8EA2473E-E970-E011-A41E-005056BD3748","21","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"007CDC6C-EA70-E011-A41E-005056BD3748","71","49D69FDB-7B87-E011-942D-005056BD3748",10
"",CEA33800-0F20-E111-A7F6-005056BD3748,"ספר מתמטיקה 4 יח""ל","",
"","6AC47CC0-0F20-E111-A7F6-005056BD3748","ספר מתמטיקה 5 יח""ל","",
"","9693A344-1020-E111-A7F6-005056BD3748","ספר אזרחות 2 יח""ל","",
"","1E8E23EA-1D1B-E111-B09A-005056BD3748","ספר תנ""ך 3 יח""ל","",
"","347E210F-1F1B-E111-B09A-005056BD3748","ספר תנ""ך 2 יח""ל","",
"",AA5D73F8-1F1B-E111-B09A-005056BD3748,"ספר פיסיקה 5 יח""ל","",
"","64A49089-201B-E111-B09A-005056BD3748",ספר פסיכומטרי,"",
"",E0AC59C7-211B-E111-B09A-005056BD3748,"ספר עברית 2 יח""ל","",
"",EC7ED179-221B-E111-B09A-005056BD3748,"ספר ספרות 3 יח""ל","",
"","06661E50-241B-E111-B09A-005056BD3748","ספר ספרות 2 יח""ל","",
"","69680514-14F3-E011-B440-005056BD3748","1111","",
"",F841BCCB-15F3-E011-B440-005056BD3748,"11212","",
"","51F0FD0F-DEE6-E111-8CA7-005056BD5C9D",ספר מכינה מתמטיקה 4,"",
בגרויות,"157ADC45-21C1-E111-8DED-005056BD5C9D","13","49D69FDB-7B87-E011-942D-005056BD3748",20
פסיכומטרי,B03CF86D-AB48-E411-A909-005056BD5C9D,"17",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"62395813-AC48-E411-A909-005056BD5C9D","16",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"6E48D8B0-294E-E411-A909-005056BD5C9D","54",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,FCB6D9D3-550A-E311-AA40-005056BD5C9D,"15",D3197AE8-7B87-E011-942D-005056BD3748,20
בגרויות,"22FCDB74-D023-E111-AE1B-005056BD5C9D","97","49D69FDB-7B87-E011-942D-005056BD3748",10
פסיכומטרי,E617975E-D123-E111-AE1B-005056BD5C9D,"51",D3197AE8-7B87-E011-942D-005056BD3748,10
"","2695237F-E223-E111-AE1B-005056BD5C9D",ספר מכינה באנגלית,"",
"",EF2C837E-EA23-E111-AE1B-005056BD5C9D,ספר מדעי החברה 5,"",
"","813191FC-EA23-E111-AE1B-005056BD5C9D","ספר מדעי החברה 5 יח""ל","",
"","5A699D1F-F123-E111-AE1B-005056BD5C9D","ספר מכינה מתמטיקה 5 יח""ל","",
"",A8C7594F-F423-E111-AE1B-005056BD5C9D,"ספר פיזיקה 5 יח""ל","",
פסיכומטרי,"62C0B6F8-8D9F-E311-BBAE-005056BD5C9D","52",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"126323B4-97C0-E311-BEF5-005056BD5C9D","53",D3197AE8-7B87-E011-942D-005056BD3748,10
