CreatedBy,CreatedByName,cs1_name,cs1_supplierId,cs1_supplier_type,ModifiedBy,ModifiedByName,modifiedon,statecode,statecode_value,statuscode,statuscode_value
557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,מאסטר ויזה,9634B58B-A45D-E811-826D-00505697537D,26,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2018-05-22 09:43:19,0,פעיל,1,פעיל
557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,פלקסי מדיה,27CA588A-9181-E711-84F2-00505697537D,21,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:41:44,0,פעיל,1,פעיל
557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,Click On,7B29E007-D29E-E811-8A51-00505697537D,27,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2018-08-13 08:22:35,0,פעיל,1,פעיל
B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,קורסים,E0377E65-69C4-EB11-9772-00505697537D,29,B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,2021-06-03 12:44:18,0,פעיל,1,פעיל
B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,טו סטאדי,6D525B70-69C4-EB11-9772-00505697537D,30,B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,2021-06-03 12:44:31,0,פעיל,1,פעיל
B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,מכללות,73525B70-69C4-EB11-9772-00505697537D,31,B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,2021-07-20 06:54:09,0,פעיל,1,פעיל
B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,מידן,A7F5BA77-69C4-EB11-9772-00505697537D,32,B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,2021-06-03 12:44:48,0,פעיל,1,פעיל
B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,נטו ליד,58F40481-69C4-EB11-9772-00505697537D,33,B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,2021-06-03 12:44:59,0,פעיל,1,פעיל
B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,איימרקטינג,6076FD86-69C4-EB11-9772-00505697537D,34,B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,2021-06-03 12:45:13,0,פעיל,1,פעיל
B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,פלקסי,EAFC9A8E-69C4-EB11-9772-00505697537D,35,B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,2021-06-03 12:45:21,0,פעיל,1,פעיל
BB540BB9-57A2-E511-BAC6-005056BD5C9D,לא פעיל - rotem Lavi,MBA FAIR,AD93E527-A36A-E711-986E-00505697537D,7,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:37:42,0,פעיל,1,פעיל
B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,פרקטיקל,C885074A-84E7-EA11-9905-00505697537D,28,B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,2020-08-26 10:09:56,0,פעיל,1,פעיל
B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,נרשמים,AA9E605A-27E9-EB11-A3EB-00505697537D,36,B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,2021-07-20 06:54:49,0,פעיל,1,פעיל
557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,קבוצת רעיון,06783F14-02CD-E711-BFC0-00505697537D,24,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:42:01,0,פעיל,1,פעיל
BB540BB9-57A2-E511-BAC6-005056BD5C9D,לא פעיל - rotem Lavi,לימודים בישראל,E5D06EA3-6039-E711-80D6-0050569937A8,15,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:38:35,0,פעיל,1,פעיל
3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,יואל גבע,EF209E03-CADE-E011-9B7C-005056BD3748,13,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:38:24,0,פעיל,1,פעיל
3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,יורם לימודים,168D0569-A070-E011-A41E-005056BD3748,14,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:38:29,0,פעיל,1,פעיל
3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,עזרא מדיה,E47444CA-F470-E011-A41E-005056BD3748,19,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:41:32,0,פעיל,1,פעיל
3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,פורטל פסיכומטרי,2AD97DE5-F470-E011-A41E-005056BD3748,20,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:41:39,0,פעיל,1,פעיל
BB540BB9-57A2-E511-BAC6-005056BD5C9D,לא פעיל - rotem Lavi,אקדמיק,A16FF21A-D2E5-E511-8C73-005056BD5C9D,10,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:38:04,0,פעיל,1,פעיל
BB540BB9-57A2-E511-BAC6-005056BD5C9D,לא פעיל - rotem Lavi,אגוגה,57F5DF4A-F0E5-E511-8C73-005056BD5C9D,9,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:37:58,0,פעיל,1,פעיל
AAB8B074-6645-E311-A9A0-005056BD5C9D,לא פעיל - Shaked Galgut,מכללה ערבית,D6A341DD-4C07-E411-94DB-005056BD5C9D,16,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:38:42,0,פעיל,1,פעיל
AAB8B074-6645-E311-A9A0-005056BD5C9D,לא פעיל - Shaked Galgut,טריליוניק,20CFDD5B-4325-E511-9B94-005056BD5C9D,12,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:38:17,0,פעיל,1,פעיל
DB0CF5F3-CACB-E011-A1EC-005056BD3748,לא פעיל - Michal Rozental,סקינדו,46B0CC5B-D015-E211-9CB9-005056BD5C9D,18,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:38:55,0,פעיל,1,פעיל
DB0CF5F3-CACB-E011-A1EC-005056BD3748,לא פעיל - Michal Rozental,פרפורמנס Lead,0EE67663-D015-E211-9CB9-005056BD5C9D,23,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:41:57,0,פעיל,1,פעיל
AAB8B074-6645-E311-A9A0-005056BD5C9D,לא פעיל - Shaked Galgut,פקדון,CFC1674C-3285-E411-9DC2-005056BD5C9D,22,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:41:51,0,פעיל,1,פעיל
AAB8B074-6645-E311-A9A0-005056BD5C9D,לא פעיל - Shaked Galgut,1CLICK,FC5FD8C6-4A8C-E411-9DC2-005056BD5C9D,2,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:36:50,0,פעיל,1,פעיל
AAB8B074-6645-E311-A9A0-005056BD5C9D,לא פעיל - Shaked Galgut,נרשמים,87340077-9112-E511-A45F-005056BD5C9D,17,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:38:48,0,פעיל,1,פעיל
AAB8B074-6645-E311-A9A0-005056BD5C9D,לא פעיל - Shaked Galgut,ארינגו,C1293C32-3AC7-E411-A56B-005056BD5C9D,11,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:38:10,0,פעיל,1,פעיל
AAB8B074-6645-E311-A9A0-005056BD5C9D,לא פעיל - Shaked Galgut,קשתות,0873DB22-3ECE-E411-A56B-005056BD5C9D,25,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:42:05,0,פעיל,1,פעיל
AAB8B074-6645-E311-A9A0-005056BD5C9D,לא פעיל - Shaked Galgut,עזרא מדיה,1F8E2E51-10A6-E411-AA57-005056BD5C9D,NULL,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:40:42,1,לא פעיל,2,לא פעיל
AAB8B074-6645-E311-A9A0-005056BD5C9D,לא פעיל - Shaked Galgut,MAPLE,4083FF51-FEA9-E411-AA57-005056BD5C9D,6,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:37:37,0,פעיל,1,פעיל
84F875B9-02EF-E311-8ABD-005056BD5C9D,לא פעיל - TAMIR Tsricker,Best School,8C805AA3-A5B5-E411-AA57-005056BD5C9D,3,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:37:20,0,פעיל,1,פעיל
D0C69513-A016-E111-8F62-005056BD3748,לא פעיל - Revital Dekel,GOSTUDY,9092E51D-2624-E111-AE1B-005056BD5C9D,4,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:37:27,0,פעיל,1,פעיל
EA8E717F-0713-E311-AA40-005056BD5C9D,לא פעיל - Lihay Arviv,IBP,221D47E2-0A79-E311-AE60-005056BD5C9D,5,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:37:34,0,פעיל,1,פעיל
BB540BB9-57A2-E511-BAC6-005056BD5C9D,לא פעיל - rotem Lavi,הראל תקשורת,902CDEB0-F92A-E611-AED6-005056BD5C9D,1,A7D2E081-D65D-E011-8A44-005056BD3748,Tal Sofer,2017-12-07 12:31:44,0,פעיל,1,פעיל
AAB8B074-6645-E311-A9A0-005056BD5C9D,לא פעיל - Shaked Galgut,Trust media,F1DD62C0-0EE4-E411-BB10-005056BD5C9D,8,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2017-12-07 12:37:48,0,פעיל,1,פעיל
